English,Chinese,Pinyin
The singers have an extraordinary talent.,歌手们有着非凡的才华。,gēshǒu men yǒuzhe fēifán de cáihuá 。
"The single family house is old, but it’s furnished with taste.",独栋别墅虽旧，但布置得很有品味。,dúdòng biéshù suījiù ， dàn bùzhì dé hěn yǒu pǐnwèi 。
The ski instructor made me do a ton of things.,滑雪教练让我做了很多事情。,huáxuě jiàoliàn ràng wǒ zuò le hěnduō shìqing 。
The solar panels are a part of the landscape.,太阳能电池板是景观的一部分。,tàiyángnéng diànchíbǎn shì jǐngguān de yībùfen 。
The solar panels are important for the environment.,太阳能电池板对环境很重要。,tàiyángnéng diànchíbǎn duì huánjìng hěn zhòngyào 。
The statues are very beautiful.,雕像非常漂亮。,diāoxiàng fēicháng piàoliang 。
The stores are closed.,商店都关门了。,shāngdiàn dū guānmén le 。
The storm is about to end.,风暴即将结束。,fēngbào jíjiāng jiéshù 。
The story that I heard was long.,我听到的故事很长。,wǒ tīngdào de gùshi hěncháng 。
The story will be long.,故事会很长。,gùshìhuì hěncháng 。
The subway runs nearby.,附近有地铁运行。,fùjìn yǒu dìtiě yùnxíng 。
The subway runs often.,地铁经常运行。,dìtiě jīngcháng yùnxíng 。
The subway station is far.,地铁站很远。,dìtiězhàn hěn yuǎn 。
The tenants care about the apartment building.,租户关心公寓楼。,zūhù guānxīn gōngyùlóu 。
The tenants care about the environment.,租户关心环境。,zūhù guānxīn huánjìng 。
The tenants care about the recycling.,租户关心回收问题。,zūhù guānxīn huíshōu wèntí 。
The tickets are for two good seats.,门票是两个好座位的。,ménpiào shì liǎnggè hǎo zuòwèi de 。
"The tickets cost a fortune, but it’s truly worth it.",门票花了一大笔钱，但确实很值得。,ménpiào huā le yīdàbǐqián ， dàn quèshí hěn zhíde 。
The tickets cost a lot but it’s worth it.,门票虽然贵了点，但是很值得。,ménpiào suīrán guì le diǎn ， dànshì hěn zhíde 。
"The tickets cost an arm and a leg, but it’s worth it.",门票花了一大笔钱，但还是值得的。,ménpiào huā le yīdàbǐqián ， dàn háishi zhíde de 。
The towels and the sheets are missing.,毛巾和床单都不见了。,máojīn hé chuángdān dū bùjiàn le 。
The towels and the water heater are missing.,毛巾和热水器不见了。,máojīn hé rèshuǐqì bùjiàn le 。
The traffic light was broken.,交通灯坏了。,jiāotōngdēng huài le 。
The traffic light was green.,交通灯是绿色的。,jiāotōngdēng shì lǜsè de 。
The traffic light was red.,交通灯是红色的。,jiāotōngdēng shì hóngsè de 。
The traffic officers care about the environment.,交通警察关心环境。,jiāotōngjǐngchá guānxīn huánjìng 。
The trip is very beautiful.,这次旅行非常美好。,zhècì lǚxíng fēicháng měihǎo 。
The trip was a success.,这次旅行很成功。,zhècì lǚxíng hěn chénggōng 。
The United States are much larger than Italy.,美国比意大利大得多。,měiguó bǐ yìdàlì dàdéduō 。
The vacation package includes a ton of things.,假期套餐包括很多东西。,jiàqī tàocān bāokuò hěnduō dōngxi 。
The vacation package includes skiing classes.,假期套餐包括滑雪课程。,jiàqī tàocān bāokuò huáxuě kèchéng 。
The vacation package is great.,假期套餐很棒。,jiàqī tàocān hěnbàng 。
The vacation package is very interesting.,假期套餐非常有趣。,jiàqī tàocān fēicháng yǒuqù 。
The valet can park the car.,代客泊车可以停车。,dàikè bóchē kěyǐ tíngchē 。
The version with the subtitles will come out soon.,带字幕的版本即将推出。,dài zìmù de bǎnběn jíjiāng tuīchū 。
The view was beautiful.,景色很美。,jǐngsè hěn měi 。
The water heater doesn’t turn on.,热水器打不开。,rèshuǐqì dǎbùkāi 。
The weather forecasts said that there would be a storm.,天气预报说将会有暴风雨。,tiānqìyùbào shuō jiàng huì yǒubàofēngyǔ 。
The weather is bad in January.,一月份天气不好。,yīyuèfèn tiānqì bùhǎo 。
The weather is very nice.,天气很好。,tiānqì hěn hǎo 。
The wedding cake was a family tradition!,婚礼蛋糕是家庭传统！,hūnlǐ dàngāo shì jiātíng chuántǒng ！
The wedding cake was a legend!,婚礼蛋糕是一个传奇！,hūnlǐ dàngāo shì yīgè chuánqí ！
The wedding cake was enormous!,婚礼蛋糕很大！,hūnlǐ dàngāo hěndà ！
the whole world,整个世界,zhěnggè shìjiè
The wind plants are a part of the landscape.,风力植物是景观的一部分。,fēnglì zhíwù shì jǐngguān de yībùfen 。
The wine is for you.,这酒是给你的。,zhèjiǔ shì gěi nǐ de 。
The wine is welcome.,酒是受欢迎的。,jiǔ shì shòuhuānyíng de 。
The wine was red.,酒是红色的。,jiǔ shì hóngsè de 。
The wines come from our winery.,这些葡萄酒来自我们的酒庄。,zhèxiē pútaojiǔ láizì wǒmen de jiǔzhuāng 。
The work begins at two o’clock.,工作从两点开始。,gōngzuò cóng liǎngdiǎn kāishǐ 。
The work is about to end.,工作即将结束。,gōngzuò jíjiāng jiéshù 。
The work is already finished.,工作已经完成了。,gōngzuò yǐjīng wánchéng le 。
The young woman had married his brother.,这位年轻女子嫁给了他的兄弟。,zhèwèi niánqīng nǚzǐ jiàgěi le tā de xiōngdì 。
The young woman had married my brother.,那个年轻女子嫁给了我哥哥。,nàgè niánqīng nǚzǐ jiàgěi le wǒ gēge 。
The young woman is not married.,这位年轻女子尚未结婚。,zhèwèi niánqīng nǚzǐ shàngwèi jiéhūn 。
The young woman looks for her soulmate.,这位年轻女子正在寻找她的灵魂伴侣。,zhèwèi niánqīng nǚzǐ zhèngzài xúnzhǎo tā de línghún bànlǚ 。
Their flight has been postponed.,他们的航班被推迟了。,tāmen de hángbān bèi tuīchí le 。
Their life ended sadly.,他们的一生悲惨地结束了。,tāmen de yīshēng bēicǎn dì jiéshù le 。
Their story ended sadly.,他们的故事以悲伤告终。,tāmen de gùshi yǐ bēishāng gàozhōng 。
Then at eight o’clock.,然后八点钟。,ránhòu bādiǎnzhōng 。
There are a few good wines.,有一些好酒。,yǒu yīxiē hǎojiǔ 。
There are also lost objects.,还有丢失的物品。,háiyǒu diūshī de wùpǐn 。
There are five people in my family.,我家一共五个人。,wǒjiā yīgòng wǔgè rén 。
There are many chances to see the local sights.,有很多机会参观当地的景点。,yǒu hěnduō jīhuì cānguān dāngdì de jǐngdiǎn 。
There are many chances to taste the local specialties.,有很多机会品尝当地的特色美食。,yǒu hěnduō jīhuì pǐncháng dāngdì de tèsèměishí 。
There are many golf courses just nearby.,附近有许多高尔夫球场。,fùjìn yǒu xǔduō gāoěrfūqiúchǎng 。
There are many security checks in Italy.,意大利有很多安全检查。,yìdàlì yǒu hěnduō ānquánjiǎnchá 。
There are many solar panels in Italy.,意大利有很多太阳能电池板。,yìdàlì yǒu hěnduō tàiyángnéng diànchíbǎn 。
There are many things that one can do on vacation.,假期里可以做很多事情。,jiàqī lǐ kěyǐ zuò hěnduō shìqing 。
There are many things to buy on vacation.,假期里有很多东西可以买。,jiàqī lǐ yǒu hěnduō dōngxi kěyǐ mǎi 。
There are many things to see on vacation.,假期里有很多东西可以看。,jiàqī lǐ yǒu hěnduō dōngxi kěyǐ kàn 。
There are many things to see.,有很多东西值得一看。,yǒu hěnduō dōngxi zhídéyīkàn 。
There are many wind plants in Italy.,意大利有许多风力发电厂。,yìdàlì yǒu xǔduō fēnglì fādiànchǎng 。
There are no plans for today.,今天没有计划。,jīntiān méiyǒu jìhuà 。
There are not a lot of American cars in Italy.,意大利的美国车并不多。,yìdàlì de měiguó chē bìngbùduō 。
There are not many golf courses near my house.,我家附近没有多少高尔夫球场。,wǒjiā fùjìn méiyǒu duōshǎo gāoěrfūqiúchǎng 。
There are only fashionable clothes and gifts here.,这里只有时髦的衣服和礼物。,zhèlǐ zhǐyǒu shímáo de yīfú hé lǐwù 。
There are the end of the season sales this week.,本周有季末促销活动。,běnzhōu yǒu jìmò cùxiāo huódòng 。
There are the end of the season sales tomorrow.,明天会有季末促销活动。,míngtiān huì yǒu jìmò cùxiāo huódòng 。
There aren’t many tickets today.,今天的票不多。,jīntiān de piào bù duō 。
There aren’t tickets today.,今天没有票。,jīntiān méiyǒu piào 。
There has been a strike at the airline.,航空公司发生了罢工。,hángkōnggōngsī fāshēng le bàgōng 。
There has been a strike at the airport.,机场发生了罢工。,jīchǎng fāshēng le bàgōng 。
There is a lot of garbage in Italy.,意大利有很多垃圾。,yìdàlì yǒu hěnduō lājī 。
There is a problem.,有一个问题。,yǒu yīgè wèntí 。
There is a subway station nearby.,附近有一个地铁站。,fùjìn yǒu yīgè dìtiězhàn 。
There is a tennis court just nearby.,附近有一个网球场。,fùjìn yǒu yīgè wǎngqiúchǎng 。
There is garbage.,有垃圾。,yǒu lājī 。
"There is glass, paper and plastic in the same place.",同一个地方有玻璃、纸张和塑料。,tóngyīge dìfāng yǒu bōli  zhǐzhāng hé sùliào 。
There is no need for much patience,不需要太多的耐心,bù xūyào tàiduō de nàixīn
There is no need to do the grocery shopping.,无需去杂货店购物。,wúxū qù záhuòdiàn gòuwù 。
There is no signal here.,这里没有信号。,zhèlǐ méiyǒu xìnhào 。
There is no signal in my car.,我的车里没有信号。,wǒ de chēlǐ méiyǒu xìnhào 。
There is no signal in the mountains.,山里没有信号。,shānlǐ méiyǒu xìnhào 。
There is only a small additional fee.,只需支付少量额外费用。,zhǐ xū zhīfù shǎoliàng éwài fèiyòng 。
There was a beautiful view.,那里有美丽的景色。,nàli yǒu měilì de jǐngsè 。
There was a lot of traffic today.,今天车流量很大。,jīntiān chēliúliàng hěndà 。
There was a restaurant with a beautiful view.,那里有一家餐厅，风景很美。,nàli yǒu yījiā cāntīng ， fēngjǐng hěn měi 。
There was a small additional fee.,有一小笔额外费用。,yǒu yīxiǎo bǐ éwài fèiyòng 。
There was an extraordinary wine.,有一种非凡的酒。,yǒu yīzhǒng fēifán de jiǔ 。
"There was glass, paper and plastic in the garbage.",垃圾里有玻璃、纸张和塑料。,lājī lǐ yǒu bōli  zhǐzhāng hé sùliào 。
"There was glass, paper and plastic in the same place.",同一个地方有玻璃、纸张和塑料。,tóngyīge dìfāng yǒu bōli  zhǐzhāng hé sùliào 。
There was good food every day.,每天都有好吃的食物。,měitiān dū yǒu hàochī de shíwù 。
There were a few good wines.,有一些好酒。,yǒu yīxiē hǎojiǔ 。
There will be a big party at your house.,你家将举办一场盛大的聚会。,nǐjiā jiàng jǔbàn yīcháng shèngdà de jùhuì 。
There will be a bigger party the next time.,下次会有更大的聚会。,xiàcì huì yǒu gēng dà de jùhuì 。
"There will be a party tonight, would you like to come?",今晚有一个聚会，你愿意来吗？,jīnwǎn yǒu yīgè jùhuì ， nǐ yuànyì lái ma ？
There will be a strike at the airport tomorrow.,明天机场将举行罢工。,míngtiān jīchǎng jiàng jǔxíng bàgōng 。
There will be an even bigger party.,将会有一个更大的聚会。,jiānghuì yǒu yīgè gēngdà de jùhuì 。
There won’t be a problem.,不会有问题的。,bùhuì yǒu wèntí de 。
There won’t be an exhibit.,不会有展览。,bùhuì yǒu zhǎnlǎn 。
There’s a bank over there.,那边有一家银行。,nàbian yǒu yījiā yínháng 。
There’s a bike path by the lake.,湖边有一条自行车道。,húbiān yǒu yītiáo zìxíngchēdào 。
There’s a lot of gas in the car.,车里有很多汽油。,chēlǐ yǒu hěnduō qìyóu 。
There’s some red wine on the kitchen table.,厨房的桌子上有一些红酒。,chúfáng de zhuōzi shàng yǒu yīxiē hóngjiǔ 。
These are not the right size.,这些尺寸不合适。,zhèxiē chǐcùn bù héshì 。
These cookies have a fruity taste.,这些饼干有水果味。,zhèxiē bǐnggān yǒu shuǐguǒ wèi 。
These objects were made here too.,这些物品也是在这里制作的。,zhèxiē wùpǐn yě shì zài zhèlǐ zhìzuò de 。
These paintings are excellent.,这些画都很棒。,zhèxiē huà dū hěnbàng 。
These roads aren’t very good.,这些路都不太好走。,zhèxiē lù dū bùtàihǎo zǒu 。
They also offer meditation classes.,他们还提供冥想课程。,tāmen huán tígōng míngxiǎng kèchéng 。
They also offer yoga classes.,他们还提供瑜伽课程。,tāmen huán tígōng yújiā kèchéng 。
They are grown up.,他们长大了。,tāmen zhǎngdà le 。
They are sending us the towels and the sheets.,他们正在给我们寄毛巾和床单。,tāmen zhèngzài gěi wǒmen jì máojīn hé chuángdān 。
They ate the wedding cake!,他们吃了结婚蛋糕！,tāmen chī le jiéhūn dàngāo ！
They both speak Italian.,他们都说意大利语。,tāmen dū shuō yìdàlìyǔ 。
They bought a farm.,他们买了一个农场。,tāmen mǎi le yīgè nóngchǎng 。
They bought a hotel in the countryside.,他们在乡下买了一家旅馆。,tāmen zài xiāngxià mǎi le yījiā lǚguǎn 。
They came back but it was too late.,他们回来了，但为时已晚。,tāmen huílai le ， dàn wéishíyǐwǎn 。
They cost an arm and a leg?,他们花了一条胳膊和一条腿吗？,tāmen huā le yītiáo gēbo hé yītiáo tuǐ ma ？
They cost an arm and a leg.,他们花了一条胳膊和一条腿。,tāmen huā le yītiáo gēbo hé yītiáo tuǐ 。
They didn’t leave a message?,他们没有留言吗？,tāmen méiyǒu liúyán ma ？
They don’t want to stay there a long time.,他们不想在那里呆太久。,tāmen bùxiǎng zài nàli dāi tàijiǔ 。
They fell in love.,他们相爱了。,tāmen xiāngài le 。
They got married in the countryside.,他们在乡下结婚了。,tāmen zài xiāngxià jiéhūn le 。
They got married without luxury.,他们结婚时并不奢侈。,tāmen jiéhūn shí bìng bù shēchǐ 。
They have a lot of appetizers.,他们有很多开胃菜。,tāmen yǒu hěnduō kāiwèicài 。
They have been made by a famous designer.,它们是由一位著名设计师制作的。,tāmen shì yóu yīwèi zhùmíng shèjìshī zhìzuò de 。
They have been made with my aunt’s recipe.,它们是按照我姨妈的食谱做的。,tāmen shì ànzhào wǒ yímā de shípǔ zuò de 。
They have been made with my grandfather’s recipe.,它们是按照我祖父的食谱制作的。,tāmen shì ànzhào wǒ zǔfù de shípǔ zhìzuò de 。
They have been made with my grandmother’s recipe.,它们是按照我祖母的食谱做的。,tāmen shì ànzhào wǒ zǔmǔ de shípǔ zuò de 。
They have good prices.,他们有很好的价格。,tāmen yǒu hěn hǎo de jiàgé 。
They have more than I thought at the market.,他们在市场上的数量比我想象的要多。,tāmen zài shìchǎng shàng de shùliàng bǐ wǒ xiǎngxiàng de yào duō 。
They have never seen a storm.,他们从未见过暴风雨。,tāmen cóngwèijiànguò bàofēngyǔ 。
They have vegetarian specialties.,他们有素食特色菜。,tāmen yǒu sùshí tèsècài 。
They introduced her to some friends.,他们把她介绍给一些朋友。,tāmen bǎ tā jièshào gěi yīxiē péngyou 。
They kissed.,他们接吻了。,tāmen jiēwěn le 。
They made a movie of it.,他们把它拍成了电影。,tāmen bǎ tā pāichéng le diànyǐng 。
They made an adaptation of it.,他们对其进行了改编。,tāmen duì qí jìnxíng le gǎibiān 。
"They met at the harbor, before boarding the same ship.",他们在港口见面，然后登上了同一艘船。,tāmen zài gǎngkǒu jiànmiàn ， ránhòu dēngshàng le tóng yīsōuchuán 。
They met.,他们相遇。,tāmen xiāngyù 。
They moved to a farm.,他们搬到了一个农场。,tāmen bāndào le yīgè nóngchǎng 。
They moved to the countryside.,他们搬到了乡村。,tāmen bāndào le xiāngcūn 。
They offer yoga every day.,他们每天提供瑜伽。,tāmen měitiān tígōng yújiā 。
They offered me a fabulous position.,他们为我提供了一个极好的职位。,tāmen wéi wǒ tígōng le yīgè jíhǎo de zhíwèi 。
They only offer yoga classes.,他们只提供瑜伽课程。,tāmen zhǐ tígōng yújiā kèchéng 。
They opened a hotel in the countryside.,他们在乡下开了一家旅馆。,tāmen zài xiāngxià kāi le yījiā lǚguǎn 。
They remained in a small village.,他们留在了一个小村庄里。,tāmen liúzài le yīgè xiǎo cūnzhuāng lǐ 。
They remained in Tuscany for a week.,他们在托斯卡纳停留了一个星期。,tāmen zài tuōsīkǎnà tíngliú le yīgè xīngqī 。
"They should go to the famous tower, of course.",他们当然应该去那座著名的塔楼。,tāmen dāngrán yīnggāi qù nàzuò zhùmíng de tǎlóu 。
They should go to the famous tower.,他们应该去那座著名的塔。,tāmen yīnggāi qù nàzuò zhùmíng de tǎ 。
They should visit the famous tower.,他们应该参观著名的塔楼。,tāmen yīnggāi cānguān zhùmíng de tǎlóu 。
They told me that you would be leaving.,他们告诉我你要离开。,tāmen gàosu wǒ nǐ yào líkāi 。
They told this to me only yesterday.,他们昨天才告诉我这件事。,tāmen zuótiān cái gàosu wǒ zhèjiàn shì 。
They traveled all over the world.,他们走遍了世界各地。,tāmen zǒubiàn le shìjiègèdì 。
They traveled in the countryside.,他们在乡村旅行。,tāmen zài xiāngcūn lǚxíng 。
"They traveled on the same ship, but they met later.",他们同乘一艘船旅行，但后来相遇了。,tāmen tóngchéng yīsōuchuán lǚxíng ， dàn hòulái xiāngyù le 。
They went to the countryside.,他们去了乡下。,tāmen qù le xiāngxià 。
They were on the table next to the book.,它们就在书旁边的桌子上。,tāmen jiù zài shū pángbiān de zhuōzi shàng 。
They were saying that there would be a storm.,他们说将会有一场暴风雨。,tāmen shuō jiàng huì yǒu yīcháng bàofēngyǔ 。
They will have two weeks.,他们将有两周的时间。,tāmen jiàng yǒu liǎngzhōu de shíjiān 。
They’re both American.,他们都是美国人。,tāmen dū shì měiguó rén 。
They’re not coming with us.,他们不和我们一起去。,tāmen bù hé wǒmen yīqǐ qù 。
Think about it and let me know.,想一想然后告诉我。,xiǎngyīxiǎng ránhòu gàosu wǒ 。
Think about it and let me see.,想一想，让我看看。,xiǎngyīxiǎng ， ràng wǒ kànkan 。
Think about it today and let me know tomorrow.,今天考虑一下，明天告诉我。,jīntiān kǎolǜyīxià ， míngtiān gàosu wǒ 。
"Thirty-eight, that’s enough.",三十八，够了。,sānshíbā ， gòu le 。
This baroque fountain is made of marble.,这座巴洛克风格的喷泉由大理石制成。,zhèzuò bāluòkè fēnggé de pēnquán yóu dàlǐshí zhìchéng 。
This beach is so exciting.,这个海滩太令人兴奋了。,zhège hǎitān tài lìngrénxīngfèn le 。
This evening.,今天晚上。,jīntiān wǎnshàng 。
This has been more than a vacation.,这不仅仅是一个假期。,zhè bùjǐnjǐn shì yīgè jiàqī 。
This hot chocolate is exceptional.,这种热巧克力很特别。,zhèzhǒng rè qiǎokèlì hěn tèbié 。
This hot chocolate with whipped cream is delicious!,这杯热巧克力加奶油真是太好吃了！,zhèbēi rè qiǎokèlì jiā nǎiyóu zhēnshìtài hàochī le ！
This is a beautiful baroque fountain.,这是一座美丽的巴洛克式喷泉。,zhèshì yīzuò měilì de bāluòkèshì pēnquán 。
This is a brilliant idea!,这是个好主意！,zhè shì gè hǎo zhǔyi ！
This is a young wine with a fruity taste.,这是一款年轻的葡萄酒，带有果味。,zhèshì yīkuǎn niánqīng de pútaojiǔ ， dàiyǒu guǒwèi 。
This is bad news!,这是个坏消息！,zhè shì gè huàixiāoxī ！
This is not possible!,这不可能！,zhè bù kěnéng ！
This is not worth it!,这不值得！,zhè bù zhíde ！
This is one of the most famous markets in the world.,这是世界上最著名的市场之一。,zhèshì shìjiè shàng zuì zhùmíng de shìchǎng zhīyī 。
This is the number of your checking account.,这是您的支票账户号码。,zhè shì nín de zhīpiào zhànghù hàomǎ 。
This is the reason why I am not under stress.,这就是我没有压力的原因。,zhè jiùshì wǒ méiyǒu yālì de yuányīn 。
This is the reason why I’m here.,这就是我来这里的原因。,zhè jiùshì wǒlái zhèlǐ de yuányīn 。
This is the reason why I’m tired.,这就是我累的原因。,zhè jiùshì wǒlěi de yuányīn 。
This is the reason why you are under stress.,这就是你承受压力的原因。,zhè jiùshì nǐ chéngshòu yālì de yuányīn 。
This is the reason why you are worried.,这就是你担心的原因。,zhè jiùshì nǐ dānxīn de yuányīn 。
This is the size that you wear.,这是您穿的尺码。,zhè shì nín chuān de chǐmǎ 。
This is the story that I heard.,这是我听到的故事。,zhè shì wǒ tīngdào de gùshi 。
This map is a little small.,这张地图有点小。,zhèzhāng dìtú yǒudiǎn xiǎo 。
This meeting will last four or five hours.,这次会议将持续四五个小时。,zhècì huìyì jiàng chíxù sìwǔgè xiǎoshí 。
This other wine was a little bit dry.,另一种酒有点干。,lìng yīzhǒng jiǔ yǒudiǎn gān 。
This painting has a story.,这幅画有一个故事。,zhèfú huà yǒu yīgè gùshi 。
This painting is extraordinary.,这幅画非同寻常。,zhèfú huà fēitóngxúncháng 。
This pair of Italian shoes is on sale.,这双意大利鞋正在打折。,zhè shuāng yìdàlì xié zhèngzài dǎzhé 。
This photo isn’t shocking.,这张照片并不令人震惊。,zhèzhāng zhàopiàn bìng bù lìngrénzhènjīng 。
This project is so interesting.,这个项目太有趣了。,zhège xiàngmù tài yǒuqù le 。
This show will be very exciting.,这场演出将会非常精彩。,zhèchǎng yǎnchū jiānghuì fēicháng jīngcǎi 。
This single-family house is very welcoming.,这栋单户住宅非常受欢迎。,zhèdòng dānhù zhùzhái fēicháng shòuhuānyíng 。
this summer,这个夏天,zhège xiàtiān
"This T-shirt is nice, but it’s very expensive.",这件T恤很好，但是很贵。,zhèjiàn txù hěn hǎo ， dànshì hěn guì 。
This T-shirt is very expensive.,这件 T 恤很贵。,zhèjiàn   t   xù hěn guì 。
This wine has a fruity taste.,这款酒有果香。,zhèkuǎn jiǔ yǒu guǒxiāng 。
This wine is a little bit dry.,这酒有点干。,zhèjiǔ yǒudiǎn gān 。
This wine is a little dry.,这酒有点干。,zhèjiǔ yǒudiǎn gān 。
This wine is delicious.,这酒很好吃。,zhèjiǔ hěn hàochī 。
To eat.,去吃。,qù chī 。
To him I’d like to send the photo.,我想把照片发给他。,wǒ xiǎng bǎ zhàopiàn fāgěi tā 。
"To relax, I would do nothing.",为了放松，我什么也不做。,wèile fàngsōng ， wǒ shénme yě bù zuò 。
To respect the tradition is important.,尊重传统很重要。,zūnzhòng chuántǒng hěn zhòngyào 。
To spill beer brings good luck.,洒出啤酒会带来好运。,sǎchū píjiǔ huì dàilái hǎoyùn 。
To spill red wine brings bad luck.,红酒溢出会带来厄运。,hóngjiǔ yìchū huì dàilái èyùn 。
To spill white wine brings bad luck.,洒白酒会带来厄运。,sǎ báijiǔ huì dàilái èyùn 。
To spill white wine brings good luck.,洒出白酒会带来好运。,sǎchū báijiǔ huì dàilái hǎoyùn 。
To teach is boring.,教课很无聊。,jiāokè hěn wúliáo 。
To the right?,向右？,xiàng yòu ？
To use recycled materials is important today.,如今，使用回收材料很重要。,rújīn ， shǐyòng huíshōu cáiliào hěn zhòngyào 。
To wait is boring.,等待是无聊的。,děngdài shì wúliáo de 。
To wait is fun.,等待是一种乐趣。,děngdài shì yīzhǒng lèqù 。
To wait makes me nervous.,等待让我紧张。,děngdài ràng wǒ jǐnzhāng 。
To work is boring.,上班很无聊。,shàngbān hěn wúliáo 。
Today I will stop here first.,今天我就先说到这里。,jīntiān wǒ jiù xiān shuō dào zhèlǐ 。
Today I’m tired.,今天我累了。,jīntiān wǒlěi le 。
Today is a national holiday.,今天是国庆节。,jīntiān shì guóqìngjié 。
Today is an exceptional party.,今天是一个特殊的聚会。,jīntiān shì yīgè tèshū de jùhuì 。
Today the sea isn’t calm.,今天的海面并不平静。,jīntiān de hǎimiàn bìng bù píngjìng 。
Today there’s a professional meeting.,今天有一个专业会议。,jīntiān yǒu yīgè zhuānyè huìyì 。
"Today, and tomorrow too.",今天，明天也是。,jīntiān ， míngtiān yě shì 。
Tomorrow evening.,明天晚上。,míngtiān wǎnshàng 。
Tomorrow I will stop at a clothing store.,明天我会去一家服装店。,míngtiān wǒhuì qù yījiā fúzhuāngdiàn 。
Tomorrow I will stop at the stores.,明天我会去商店。,míngtiān wǒhuì qù shāngdiàn 。
Tomorrow I’ll accompany you to the clothing store.,明天我陪你去服装店。,míngtiān wǒ péinǐqù fúzhuāngdiàn 。
Tomorrow is a national holiday.,明天是国庆节。,míngtiān shì guóqìngjié 。
Tomorrow we can find them at the clothing store.,明天我们可以在服装店找到它们。,míngtiān wǒmen kěyǐ zài fúzhuāngdiàn zhǎodào tāmen 。
Tonight I’m going to have dinner at ten o’clock.,今晚我十点钟去吃晚饭。,jīnwǎn wǒ shídiǎnzhōng qù chīwǎnfàn 。
Traveling by train is fast.,乘火车旅行速度很快。,chénghuǒchē lǚxíng sùdù hěnkuài 。
Traveling is more expensive now.,现在旅游更贵了。,xiànzài lǚyóu gēngguì le 。
Truly I feel better.,确实我感觉好多了。,quèshí wǒ gǎnjué hǎoduō le 。
Try to ask for a discount.,尝试要求折扣。,chángshì yāoqiú zhékòu 。
Tuesday.,周二。,zhōuèr 。
"Twice a year, the event is remembered.",每年两次，这一事件都会被记住。,měinián liǎngcì ， zhèyī shìjiàn dū huì bèi jìzhu 。
"Two beers, please.",请来两杯啤酒。,qǐnglái liǎngbēi píjiǔ 。
"Unfortunately, I cannot come.",不幸的是，我不能来。,bùxìng de shì ， wǒ bùnéng lái 。
"Unfortunately, I have to leave.",不幸的是，我必须离开。,bùxìng de shì ， wǒ bìxū líkāi 。
"Unfortunately, I haven’t seen the credit cards yet.",不幸的是，我还没有看到信用卡。,bùxìng de shì ， wǒ huán méiyǒu kàndào xìnyòngkǎ 。
"Unfortunately, it’s not up to me.",不幸的是，这不取决于我。,bùxìng de shì ， zhè bù qǔjuéyú wǒ 。
Until seven o’clock.,直到七点钟。,zhídào qīdiǎnzhōng 。
"Upon your return, you won’t be under stress.",回来后，您不会有压力。,huílai hòu ， nín bùhuì yǒu yālì 。
"Upon your return, you’ll be in great shape.",回来后，您会保持良好的状态。,huílai hòu ， nín huì bǎochíliánghǎo de zhuàngtài 。
"Upon your return, you’ll feel better.",回来后，您会感觉好多了。,huílai hòu ， nín huì gǎnjué hǎoduō le 。
Usually I don’t drive like this.,通常我不会这样开车。,tōngcháng wǒ bùhuì zhèyàng kāichē 。
Usually I don’t get sea-sick.,通常我不会晕船。,tōngcháng wǒ bùhuì yùnchuán 。
Usually I drive at this speed.,通常我都会以这个速度行驶。,tōngcháng wǒ dū huì yǐ zhège sùdù xíngshǐ 。
"Usually, for a project like this, it takes more time.",通常，对于这样的项目，需要更多的时间。,tōngcháng ， duìyú zhèyàng de xiàngmù ， xūyào gēng duō de shíjiān 。
Very beautiful memories.,非常美好的回忆。,fēicháng měihǎo de huíyì 。
"Very well, thanks.",很好，谢谢。,hěn hǎo ， xièxie 。
Wait it’s here!,等一下它就在这里！,děng yīxià tā jiù zài zhèlǐ ！
Wait.,等待。,děngdài 。
Was her mother born in Rome?,她的母亲出生在罗马吗？,tā de mǔqīn chūshēng zài luómǎ ma ？
Was it a success?,成功了吗？,chénggōng le ma ？
Was Italian easy for you?,意大利语对你来说容易吗？,yìdàlìyǔ duì nǐ láishuō róngyì ma ？
Was she born in Rome?,她出生在罗马吗？,tā chūshēng zài luómǎ ma ？
Was the food interesting?,食物有趣吗？,shíwù yǒuqù ma ？
We also have glasses of wine.,我们还有酒杯。,wǒmen háiyǒu jiǔbēi 。
We also have to leave.,我们也得离开了。,wǒmen yě dé líkāi le 。
We also make objects of glass.,我们还生产玻璃制品。,wǒmen huán shēngchǎn bōlizhìpǐn 。
We also make objects of recycled materials.,我们还用回收材料制作物品。,wǒmen huán yòng huíshōu cáiliào zhìzuò wùpǐn 。
We are all invited to lunch.,我们都被邀请共进午餐。,wǒmen dū bèi yāoqǐng gòngjìnwǔcān 。
We are going over there.,我们要去那里。,wǒmen yào qù nàli 。
We are going to take a tour of the old town.,我们要去老城区游览。,wǒmen yào qù lǎochéngqū yóulǎn 。
We are having fun.,我们玩得很开心。,wǒmen wándé hěn kāixīn 。
We are in the middle of nowhere.,我们正处于偏僻的地方。,wǒmen zhèng chǔyú piānpì de dìfāng 。
We are talking about the United States.,我们正在谈论美国。,wǒmen zhèngzài tánlùn měiguó 。
We are waiting for a long time.,我们已经等了很长时间了。,wǒmen yǐjīng děng le hěn chángshíjiān le 。
We arrived together.,我们一起到达。,wǒmen yīqǐ dàodá 。
